NU_ANO_CENSO,NO_REGIAO,CO_REGIAO,NO_UF,SG_UF,CO_UF,NO_MUNICIPIO,CO_MUNICIPIO,IN_CAPITAL,TP_DIMENSAO,TP_ORGANIZACAO_ACADEMICA,TP_CATEGORIA_ADMINISTRATIVA,TP_REDE,CO_IES,NO_CURSO,CO_CURSO,NO_CINE_ROTULO,CO_CINE_ROTULO,CO_CINE_AREA_GERAL,NO_CINE_AREA_GERAL,CO_CINE_AREA_ESPECIFICA,NO_CINE_AREA_ESPECIFICA,CO_CINE_AREA_DETALHADA,NO_CINE_AREA_DETALHADA,TP_GRAU_ACADEMICO,IN_GRATUITO,TP_MODALIDADE_ENSINO,TP_NIVEL_ACADEMICO,QT_CURSO,QT_VG_TOTAL,QT_VG_TOTAL_DIURNO,QT_VG_TOTAL_NOTURNO,QT_VG_TOTAL_EAD,QT_VG_NOVA,QT_VG_PROC_SELETIVO,QT_VG_REMANESC,QT_VG_PROG_ESPECIAL,QT_INSCRITO_TOTAL,QT_INSCRITO_TOTAL_DIURNO,QT_INSCRITO_TOTAL_NOTURNO,QT_INSCRITO_TOTAL_EAD,QT_INSC_VG_NOVA,QT_INSC_PROC_SELETIVO,QT_INSC_VG_REMANESC,QT_INSC_VG_PROG_ESPECIAL,QT_ING,QT_ING_FEM,QT_ING_MASC,QT_ING_DIURNO,QT_ING_NOTURNO,QT_ING_VG_NOVA,QT_ING_VESTIBULAR,QT_ING_ENEM,QT_ING_AVALIACAO_SERIADA,QT_ING_SELECAO_SIMPLIFICA,QT_ING_EGR,QT_ING_OUTRO_TIPO_SELECAO,QT_ING_PROC_SELETIVO,QT_ING_VG_REMANESC,QT_ING_VG_PROG_ESPECIAL,QT_ING_OUTRA_FORMA,QT_ING_0_17,QT_ING_18_24,QT_ING_25_29,QT_ING_30_34,QT_ING_35_39,QT_ING_40_49,QT_ING_50_59,QT_ING_60_MAIS,QT_ING_BRANCA,QT_ING_PRETA,QT_ING_PARDA,QT_ING_AMARELA,QT_ING_INDIGENA,QT_ING_CORND,QT_MAT,QT_MAT_FEM,QT_MAT_MASC,QT_MAT_DIURNO,QT_MAT_NOTURNO,QT_MAT_0_17,QT_MAT_18_24,QT_MAT_25_29,QT_MAT_30_34,QT_MAT_35_39,QT_MAT_40_49,QT_MAT_50_59,QT_MAT_60_MAIS,QT_MAT_BRANCA,QT_MAT_PRETA,QT_MAT_PARDA,QT_MAT_AMARELA,QT_MAT_INDIGENA,QT_MAT_CORND,QT_CONC,QT_CONC_FEM,QT_CONC_MASC,QT_CONC_DIURNO,QT_CONC_NOTURNO,QT_CONC_0_17,QT_CONC_18_24,QT_CONC_25_29,QT_CONC_30_34,QT_CONC_35_39,QT_CONC_40_49,QT_CONC_50_59,QT_CONC_60_MAIS,QT_CONC_BRANCA,QT_CONC_PRETA,QT_CONC_PARDA,QT_CONC_AMARELA,QT_CONC_INDIGENA,QT_CONC_CORND,QT_ING_NACBRAS,QT_ING_NACESTRANG,QT_MAT_NACBRAS,QT_MAT_NACESTRANG,QT_CONC_NACBRAS,QT_CONC_NACESTRANG,QT_ALUNO_DEFICIENTE,QT_ING_DEFICIENTE,QT_MAT_DEFICIENTE,QT_CONC_DEFICIENTE,QT_ING_FINANC,QT_ING_FINANC_REEMB,QT_ING_FIES,QT_ING_RPFIES,QT_ING_FINANC_REEMB_OUTROS,QT_ING_FINANC_NREEMB,QT_ING_PROUNII,QT_ING_PROUNIP,QT_ING_NRPFIES,QT_ING_FINANC_NREEMB_OUTROS,QT_MAT_FINANC,QT_MAT_FINANC_REEMB,QT_MAT_FIES,QT_MAT_RPFIES,QT_MAT_FINANC_REEMB_OUTROS,QT_MAT_FINANC_NREEMB,QT_MAT_PROUNII,QT_MAT_PROUNIP,QT_MAT_NRPFIES,QT_MAT_FINANC_NREEMB_OUTROS,QT_CONC_FINANC,QT_CONC_FINANC_REEMB,QT_CONC_FIES,QT_CONC_RPFIES,QT_CONC_FINANC_REEMB_OUTROS,QT_CONC_FINANC_NREEMB,QT_CONC_PROUNII,QT_CONC_PROUNIP,QT_CONC_NRPFIES,QT_CONC_FINANC_NREEMB_OUTROS,QT_ING_RESERVA_VAGA,QT_ING_RVREDEPUBLICA,QT_ING_RVETNICO,QT_ING_RVPDEF,QT_ING_RVSOCIAL_RF,QT_ING_RVOUTROS,QT_MAT_RESERVA_VAGA,QT_MAT_RVREDEPUBLICA,QT_MAT_RVETNICO,QT_MAT_RVPDEF,QT_MAT_RVSOCIAL_RF,QT_MAT_RVOUTROS,QT_CONC_RESERVA_VAGA,QT_CONC_RVREDEPUBLICA,QT_CONC_RVETNICO,QT_CONC_RVPDEF,QT_CONC_RVSOCIAL_RF,QT_CONC_RVOUTROS,QT_SIT_TRANCADA,QT_SIT_DESVINCULADO,QT_SIT_TRANSFERIDO,QT_SIT_FALECIDO,QT_ING_PROCESCPUBLICA,QT_ING_PROCESCPRIVADA,QT_ING_PROCNAOINFORMADA,QT_MAT_PROCESCPUBLICA,QT_MAT_PROCESCPRIVADA,QT_MAT_PROCNAOINFORMADA,QT_CONC_PROCESCPUBLICA,QT_CONC_PROCESCPRIVADA,QT_CONC_PROCNAOINFORMADA,QT_PARFOR,QT_ING_PARFOR,QT_MAT_PARFOR,QT_CONC_PARFOR,QT_APOIO_SOCIAL,QT_ING_APOIO_SOCIAL,QT_MAT_APOIO_SOCIAL,QT_CONC_APOIO_SOCIAL,QT_ATIV_EXTRACURRICULAR,QT_ING_ATIV_EXTRACURRICULAR,QT_MAT_ATIV_EXTRACURRICULAR,QT_CONC_ATIV_EXTRACURRICULAR,QT_MOB_ACADEMICA,QT_ING_MOB_ACADEMICA,QT_MAT_MOB_ACADEMICA,QT_CONC_MOB_ACADEMICA
2018,Centro-Oeste,5,Goias,GO,52,Aparecida de Goiania,5201405,0,1,1,1,1,584,ENGENHARIA DE PRODUCAO,1300254,Engenharia de producao,"""0725E02""",7,Engenharia - producao e construcao,72,Producao e processamento,725,Producao e processos de fabricacao,1,1,1,1,1,49,49,0,0,40,0,9,0,411,411,0,0,344,0,67,0,49,17,32,49,0,45,5,40,0,0,0,0,0,4,0,0,0,46,2,0,1,0,0,0,25,3,20,0,0,1,155,69,86,155,0,0,145,9,0,1,0,0,0,69,10,69,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,2,153,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,13,0,10,0,58,58,37,0,24,0,0,0,0,0,0,0,19,7,0,0,26,23,0,66,89,0,0,0,0,0,0,0,0,3,0,0,0,47,3,47,0,1,0,1,0
2018,Centro-Oeste,5,Goias,GO,52,Aparecida de Goiania,5201405,0,1,1,1,1,584,ENGENHARIA DE TRANSPORTES,1313291,Engenharia de transportes,"""0732E03""",7,Engenharia - producao e construcao,73,Arquitetura e construcao,732,Engenharia civil e construcao,1,1,1,1,1,51,51,0,0,40,0,11,0,479,479,0,0,441,0,38,0,46,11,35,46,0,42,3,39,0,0,0,0,0,4,0,0,0,36,7,0,0,2,1,0,18,4,21,1,0,2,100,32,68,100,0,0,82,11,3,1,3,0,0,34,7,56,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,14,0,9,0,43,43,29,0,18,0,0,0,0,0,0,0,23,13,1,0,24,22,0,51,49,0,0,0,0,0,0,0,0,1,0,0,0,16,2,16,0,0,0,0,0
2018,Centro-Oeste,5,Goias,GO,52,Aparecida de Goiania,5201405,0,1,1,1,1,584,GEOLOGIA,1313290,Geologia,"""0532G02""",5,Ciencias naturais - matematica e estatistica,53,Ciencias fisicas,532,Ciencias da terra,1,1,1,1,1,42,42,0,0,40,0,2,0,349,349,0,0,331,0,18,0,37,14,23,37,0,35,0,35,0,0,0,0,0,2,0,0,0,25,4,5,3,0,0,0,19,2,15,1,0,0,114,49,65,114,0,0,82,17,8,4,2,1,0,48,8,52,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,8,0,8,0,50,50,33,0,21,0,0,0,0,0,0,0,17,10,0,0,22,15,0,62,52,0,0,0,0,0,0,0,0,0,0,0,0,29,5,29,0,0,0,0,0
2018,Centro-Oeste,5,Goias,GO,52,Catalao,5205109,0,1,1,1,1,584,ABI - CIENCIAS SOCIAIS,5000903,ABI Ciencias sociais - comunicacao e informacao,"""0011A03""",0,Programas basicos,1,Programas basicos,11,Programas basicos,,1,1,1,0,75,75,0,0,60,0,15,0,334,334,0,0,328,0,6,0,35,21,14,35,0,34,0,34,0,0,0,0,0,1,0,0,0,27,4,1,0,3,0,0,18,5,12,0,0,0,26,17,9,26,0,0,21,3,0,0,2,0,0,14,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,8,0,8,0,14,14,6,0,5,0,0,0,0,0,0,0,7,3,18,0,30,5,0,23,3,0,0,0,0,0,0,0,0,2,0,0,0,4,3,3,0,0,0,0,0
2018,Centro-Oeste,5,Goias,GO,52,Catalao,5205109,0,1,1,1,1,584,ABI - PSICOLOGIA,5000911,ABI Ciencias sociais - comunicacao e informacao,"""0011A03""",0,Programas basicos,1,Programas basicos,11,Programas basicos,,1,1,1,0,59,59,0,0,50,0,9,0,882,882,0,0,815,0,67,0,57,46,11,57,0,54,4,50,0,0,0,0,0,3,0,0,1,51,2,0,0,3,0,0,27,6,15,0,1,8,54,44,10,54,0,1,49,2,0,0,2,0,0,25,6,14,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,13,0,8,0,26,26,12,0,8,0,0,0,0,0,0,0,3,2,0,0,31,26,0,29,25,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0
2018,Centro-Oeste,5,Goias,GO,52,Catalao,5205109,0,1,1,1,1,584,ABI - QUIMICA,5000913,ABI Ciencias naturais - matematica e estatistica,"""0011A05""",0,Programas basicos,1,Programas basicos,11,Programas basicos,,1,1,1,0,52,0,52,0,50,0,2,0,271,0,271,0,262,0,9,0,32,22,10,0,32,32,0,32,0,0,0,0,0,0,0,0,1,25,2,4,0,0,0,0,11,6,14,0,0,1,22,15,7,0,22,0,18,3,1,0,0,0,0,8,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,10,0,5,0,12,12,8,0,5,0,0,0,0,0,0,0,17,5,4,0,28,4,0,19,3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0
2018,Centro-Oeste,5,Goias,GO,52,Catalao,5205109,0,1,1,1,1,584,ADMINISTRACAO,102084,Administracao,"""0413A01""",4,Negocios - administracao e direito,41,Negocios e administracao,413,Gestao e administracao,1,1,1,1,1,55,0,55,0,50,0,5,0,890,0,890,0,849,0,41,0,54,30,24,0,54,51,2,49,0,0,0,0,0,3,0,0,0,51,2,1,0,0,0,0,23,2,26,0,1,2,220,136,84,0,220,0,145,41,19,5,10,0,0,77,13,88,4,1,37,49,31,18,0,49,0,30,11,4,1,3,0,0,15,2,18,1,0,13,54,0,220,0,49,0,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,13,1,13,0,100,100,46,1,38,0,17,17,10,0,7,0,34,18,1,0,41,13,0,160,60,0,36,13,0,0,0,0,0,0,0,0,0,6,2,6,0,0,0,0,0
2018,Centro-Oeste,5,Goias,GO,52,Catalao,5205109,0,1,1,1,1,584,CIENCIA DA COMPUTACAO,14137,Ciencia da computacao,"""0614C01""",6,Computacao e Tecnologias da Informacao e Comunicacao (TIC),61,Computacao e Tecnologias da Informacao e Comunicacao (TIC),614,Ciencia da computacao,1,1,1,1,1,35,35,0,0,35,0,0,0,201,201,0,0,201,0,0,0,35,4,31,35,0,35,0,35,0,0,0,0,0,0,0,0,1,33,1,0,0,0,0,0,18,3,14,0,0,0,131,15,116,131,0,1,113,13,1,2,1,0,0,61,7,45,2,0,16,12,1,11,12,0,0,10,2,0,0,0,0,0,4,0,3,0,0,5,35,0,130,1,12,0,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,12,1,9,0,49,49,25,1,21,0,2,2,1,0,0,0,22,11,2,0,22,13,0,84,47,0,6,6,0,0,0,0,0,0,0,0,0,11,2,11,0,0,0,0,0
2018,Centro-Oeste,5,Goias,GO,52,Catalao,5205109,0,1,1,1,1,584,CIENCIAS BIOLOGICAS,102086,Biologia formacao de professor,"""0114B01""",1,Educacao,11,Educacao,114,Formacao de professores em areas especificas (exceto Letras),2,1,1,1,1,65,65,0,0,50,0,15,0,241,241,0,0,235,0,6,0,39,27,12,39,0,37,0,37,0,0,0,0,0,2,0,0,0,33,3,0,2,1,0,0,15,2,21,0,1,0,100,61,39,100,0,0,83,8,4,3,2,0,0,37,4,46,0,1,12,14,8,6,14,0,0,10,4,0,0,0,0,0,5,1,4,0,0,4,39,0,100,0,14,0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,16,0,14,0,36,36,22,0,21,0,2,2,2,0,1,0,15,12,0,0,29,10,0,71,29,0,11,3,0,0,0,0,0,3,0,2,2,35,20,35,1,0,0,0,0
2018,Centro-Oeste,5,Goias,GO,52,Catalao,5205109,0,1,1,1,1,584,CIENCIAS BIOLOGICAS,1113004,Biologia,"""0511B01""",5,Ciencias naturais - matematica e estatistica,51,Ciencias biologicas e correlatas,511,Biologia,1,1,1,1,1,40,40,0,0,30,0,10,0,196,196,0,0,186,0,10,0,32,17,15,32,0,32,2,30,0,0,0,0,0,0,0,0,0,31,1,0,0,0,0,0,19,2,10,0,0,1,92,59,33,92,0,0,78,11,2,0,0,1,0,38,4,35,0,1,14,19,13,6,19,0,0,12,6,1,0,0,0,0,8,0,6,0,0,5,32,0,91,1,19,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,9,0,5,0,32,32,16,0,11,0,3,3,2,0,0,0,11,10,0,0,22,10,0,60,32,0,12,7,0,0,0,0,0,2,0,2,2,15,5,15,4,0,0,0,0
